score,number_art,number_science,
705,,14,
704,,4,
703,,10,
702,,7,
701,,7,
700,6,11,
699,1,7,
698,3,8,
697,1,12,
696,1,13,
695,1,13,
694,2,13,
693,1,18,
692,4,11,
691,1,26,
690,3,25,
689,5,16,
688,3,16,
687,9,22,
686,6,25,
685,4,27,
684,5,31,
683,5,26,
682,4,29,
681,7,38,
680,6,39,
679,7,46,
678,9,41,
677,12,36,
676,12,50,
675,10,49,
674,13,52,
673,12,59,
672,13,50,
671,13,48,
670,15,58,
669,17,45,
668,16,52,
667,13,60,
666,21,85,
665,27,52,
664,20,78,
663,28,65,
662,22,66,
661,24,68,
660,30,61,
659,23,79,
658,19,63,
657,26,74,
656,31,90,
655,20,67,
654,28,68,
653,24,86,
652,28,93,
651,28,80,
650,47,90,
649,33,90,
648,26,78,
647,38,86,
646,47,86,
645,38,95,
644,36,102,
643,49,105,
642,42,104,
641,44,84,
640,44,93,
639,37,113,
638,36,114,
637,45,115,
636,36,106,
635,34,122,
634,40,124,
633,49,120,
632,36,102,
631,45,107,
630,44,102,
629,46,132,
628,51,121,
627,48,123,
626,55,115,
625,45,113,
624,51,112,
623,39,115,
622,45,112,
621,50,120,
620,63,120,
619,58,112,
618,62,125,
617,54,122,
616,45,144,
615,54,122,
614,58,133,
613,46,142,
612,47,128,
611,56,119,
610,59,136,
609,53,116,
608,52,118,
607,40,114,
606,65,126,
605,51,136,
604,62,124,
603,71,134,
602,61,126,
601,53,134,
600,50,128,
599,60,127,
598,69,139,
597,65,104,
596,54,124,
595,61,137,
594,68,123,
593,61,143,
592,49,125,
591,54,133,
590,64,123,
589,58,126,
588,52,128,
587,65,146,
586,58,140,
585,66,114,
584,64,139,
583,41,128,
582,46,118,
581,53,133,
580,45,114,
579,54,130,
578,46,121,
577,75,117,
576,73,114,
575,52,111,
574,65,123,
573,67,166,
572,65,113,
571,53,119,
570,47,132,
569,57,135,
568,69,114,
567,56,147,
566,55,146,
565,60,129,
564,58,143,
563,58,114,
562,52,148,
561,57,120,
560,56,127,
559,48,144,
558,50,133,
557,45,135,
556,54,149,
555,55,147,
554,60,132,
553,67,125,
552,46,139,
551,67,118,
550,58,128,
549,62,142,
548,62,182,
547,51,111,
546,58,115,
545,67,144,
544,58,138,
543,57,117,
542,63,117,
541,49,127,
540,60,131,
539,45,139,
538,52,133,
537,55,111,
536,55,122,
535,71,127,
534,70,134,
533,57,124,
532,56,146,
531,66,148,
530,62,121,
529,56,135,
528,58,113,
527,55,135,
526,75,123,
525,52,120,
524,40,137,
523,62,118,
522,58,123,
521,47,118,
520,66,126,
519,49,114,
518,56,107,
517,74,136,
516,63,120,
515,52,130,
514,50,147,
513,40,150,
512,52,125,
511,41,139,
510,62,120,
509,55,114,
508,75,111,
507,55,113,
506,54,130,
505,56,120,
504,57,125,
503,52,112,
502,62,129,
501,55,138,
500,57,112,
499,42,133,
498,65,110,
497,59,116,
496,59,112,
495,50,143,
494,60,121,
493,51,125,
492,44,107,
491,50,117,
490,50,119,
489,52,98,
488,49,123,
487,44,111,
486,45,116,
485,44,115,
484,61,109,
483,43,100,
482,53,105,
481,45,117,
480,46,133,
479,35,125,
478,37,90,
477,39,123,
476,50,88,
475,46,132,
474,51,117,
473,53,111,
472,36,106,
471,42,111,
470,52,97,
469,41,111,
468,50,98,
467,32,104,
466,40,110,
465,43,112,
464,60,94,
463,47,106,
462,51,94,
461,55,109,
460,41,102,
459,39,98,
458,38,100,
457,41,95,
456,39,77,
455,47,88,
454,37,106,
453,38,90,
452,39,103,
451,37,90,
450,32,98,
449,33,99,
448,32,85,
447,34,101,
446,47,89,
445,34,96,
444,32,85,
443,36,86,
442,41,80,
441,39,84,
440,36,84,
439,36,84,
438,37,77,
437,34,79,
436,35,78,
435,35,90,
434,34,86,
433,33,94,
432,45,79,
431,36,67,
430,40,74,
429,31,96,
428,38,79,
427,46,84,
426,42,68,
425,33,75,
424,35,84,
423,33,90,
422,49,69,
421,37,73,
420,25,70,
410,322,710,
400,320,610,
390,264,512,
380,246,479,
370,248,444,
360,190,372,
350,171,345,
340,193,276,
330,137,289,
320,120,251,
310,108,184,
300,75,173,
290,64,139,
280,81,135,
270,59,101,
260,39,77,
250,44,68,
240,40,48,
230,25,39,
220,25,30,
210,16,19,
200,19,15,
190,12,9,
180,16,9,
170,8,8,
160,6,7,
150,3,6,
140,3,4,
130,5,9,
120,3,6,
110,3,5,
100,6,3,
90,4,5,
80,4,4,
70,2,5,
60,,5,
50,2,4,
40,6,,
30,64,,111
20,295,,191
10,102,,45
0,327,,299